step,event,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_lin_acc_x,imu_lin_acc_y,imu_lin_acc_z,contact_left_in_contact,contact_left_force,contact_right_in_contact,contact_right_force,image_file
0,0,0.028410766273736954,-1.3413357734680176,0.09448391199111938,-12.487099647521973,1.0405423641204834,10.19186782836914,False,0.0,False,0.0,images/step_0000.png
1,0,0.03593454509973526,-2.007554531097412,0.1372590810060501,6.338741302490234,0.7806535959243774,-3.2552831172943115,False,0.0,False,0.0,
2,0,0.03776067867875099,-2.189556837081909,0.14884233474731445,15.630195617675781,0.37162891030311584,-10.147059440612793,False,0.0,False,0.0,
3,0,0.03712397441267967,-2.196586847305298,0.14869119226932526,18.43846321105957,0.07160021364688873,-12.000167846679688,False,0.0,False,0.0,
4,0,0.03476692736148834,-2.1356523036956787,0.1443537175655365,11.559947967529297,0.044582292437553406,-8.97976016998291,False,0.0,False,0.0,
5,0,0.03263464197516441,-2.0508337020874023,0.1385737806558609,7.928245544433594,0.1496947556734085,-9.163894653320312,False,0.0,False,0.0,
6,0,0.030940363183617592,-1.9583146572113037,0.13231590390205383,6.340428352355957,0.1529310941696167,-8.945090293884277,False,0.0,False,0.0,
7,0,0.029359634965658188,-1.8643466234207153,0.1260085105895996,5.583067893981934,0.13984271883964539,-8.796510696411133,False,0.0,False,0.0,
8,0,0.027844388037919998,-1.771677017211914,0.11981184035539627,5.168513298034668,0.12880939245224,-8.862710952758789,False,0.0,False,0.0,
9,0,0.026385091245174408,-1.6814517974853516,0.11378634721040726,4.84210729598999,0.11830040067434311,-8.978460311889648,False,0.0,False,0.0,
10,0,0.024981366470456123,-1.5941795110702515,0.10795824229717255,4.542302131652832,0.10833032429218292,-9.095372200012207,False,0.0,False,0.0,
11,0,0.023635173216462135,-1.5101090669631958,0.10234549641609192,4.254269123077393,0.09900487959384918,-9.20297908782959,False,0.0,False,0.0,
12,0,0.02234552428126335,-1.4293628931045532,0.0969533771276474,3.9752767086029053,0.0902804583311081,-9.299812316894531,False,0.0,False,0.0,
13,0,0.021112212911248207,-1.3519898653030396,0.09178551286458969,3.7069251537323,0.08215662837028503,-9.386637687683105,False,0.0,False,0.0,
14,0,0.01993216574192047,-1.2779982089996338,0.08684184402227402,3.451143980026245,0.07461266219615936,-9.464197158813477,False,0.0,False,0.0,
15,0,0.018806131556630135,-1.2073653936386108,0.08212093263864517,3.2096564769744873,0.06762563437223434,-9.533041954040527,False,0.0,False,0.0,
16,0,0.01773230917751789,-1.1400378942489624,0.07761919498443604,2.983816146850586,0.06115373596549034,-9.594021797180176,False,0.0,False,0.0,
17,0,0.01670978032052517,-1.0759599208831787,0.07333214581012726,2.7734742164611816,0.055212680250406265,-9.647294998168945,False,0.0,False,0.0,
18,0,0.01573517918586731,-1.0150365829467773,0.06925440579652786,2.578718662261963,0.04975729435682297,-9.694067001342773,False,0.0,False,0.0,
19,0,0.014808579348027706,-0.9571824669837952,0.06538074463605881,2.3983449935913086,0.04478125274181366,-9.734559059143066,False,0.0,False,0.0,
20,0,0.013929739594459534,-0.9022941589355469,0.06170540302991867,2.231414318084717,0.04024101048707962,-9.769477844238281,False,0.0,False,0.0,images/step_0020.png
21,0,0.01309438981115818,-0.850264847278595,0.05822085961699486,2.0768399238586426,0.036132801324129105,-9.799498558044434,False,0.0,False,0.0,
22,0,0.012303884141147137,-0.8009782433509827,0.054920345544815063,1.933577299118042,0.032411012798547745,-9.825138092041016,False,0.0,False,0.0,
23,0,0.011554893106222153,-0.7543284296989441,0.051796361804008484,1.8004965782165527,0.029039712622761726,-9.846714973449707,False,0.0,False,0.0,
24,0,0.010845047421753407,-0.7101978063583374,0.04884233698248863,1.6768195629119873,0.02601044438779354,-9.864771842956543,False,0.0,False,0.0,
25,0,0.010172533802688122,-0.6684750318527222,0.046049829572439194,1.561732292175293,0.02326423116028309,-9.87966537475586,False,0.0,False,0.0,
26,0,0.009538376703858376,-0.6290364861488342,0.043411605060100555,1.4548529386520386,0.02079807035624981,-9.892166137695312,False,0.0,False,0.0,
27,0,0.0089262081310153,-0.5917851328849792,0.04092084988951683,1.3550570011138916,0.01860726997256279,-9.901832580566406,False,0.0,False,0.0,
28,0,0.008342714980244637,-0.5566067695617676,0.03857020288705826,1.262259602546692,0.016611400991678238,-9.909607887268066,False,0.0,False,0.0,
29,0,0.007779728155583143,-0.5234025716781616,0.03635231778025627,1.1756908893585205,0.014832167886197567,-9.915331840515137,False,0.0,False,0.0,
30,0,0.007257024757564068,-0.49206382036209106,0.03426050394773483,1.0951683521270752,0.01319044828414917,-9.919601440429688,False,0.0,False,0.0,
31,0,0.006787964142858982,-0.4624905586242676,0.032286636531353,1.0202102661132812,0.011682710610330105,-9.92253303527832,False,0.0,False,0.0,
32,0,0.006310221739113331,-0.43459680676460266,0.03042508289217949,0.9502387046813965,0.010485158301889896,-9.924032211303711,False,0.0,False,0.0,
33,0,0.005875418893992901,-0.40829357504844666,0.028670337051153183,0.8850767016410828,0.009260517545044422,-9.924453735351562,False,0.0,False,0.0,
34,0,0.005470824893563986,-0.3834894001483917,0.027015332132577896,0.8244999647140503,0.008201828226447105,-9.924118995666504,False,0.0,False,0.0,
35,0,0.005109737161546946,-0.3601047694683075,0.025454435497522354,0.7679241895675659,0.007217154838144779,-9.92275333404541,False,0.0,False,0.0,
36,0,0.004733390174806118,-0.3380601108074188,0.02398197166621685,0.7154057025909424,0.0064728520810604095,-9.920989036560059,False,0.0,False,0.0,
37,0,0.004393270239233971,-0.3172837495803833,0.022595692425966263,0.6663631200790405,0.005676018074154854,-9.918450355529785,False,0.0,False,0.0,
38,0,0.004079444799572229,-0.2977025806903839,0.021287372335791588,0.620742678642273,0.004972206428647041,-9.915525436401367,False,0.0,False,0.0,
39,0,0.0037948405370116234,-0.2792491018772125,0.020053688436746597,0.5783536434173584,0.004349278286099434,-9.912406921386719,False,0.0,False,0.0,
40,0,0.0035142763517796993,-0.26186224818229675,0.018888283520936966,0.5387346744537354,0.0038410555571317673,-9.908775329589844,False,0.0,False,0.0,images/step_0040.png
41,0,0.003252849681302905,-0.24547681212425232,0.017788568511605263,0.5019896626472473,0.0033490676432847977,-9.905210494995117,False,0.0,False,0.0,
42,0,0.003007325576618314,-0.2300485223531723,0.01675264723598957,0.4674796462059021,0.0029168506152927876,-9.901023864746094,False,0.0,False,0.0,
43,0,0.002778248628601432,-0.21550174057483673,0.015775451436638832,0.4356909394264221,0.0025216839276254177,-9.897324562072754,False,0.0,False,0.0,
44,0,0.002587065566331148,-0.20181021094322205,0.014851924031972885,0.40563204884529114,0.0021075005643069744,-9.892961502075195,False,0.0,False,0.0,
45,0,0.00236582662910223,-0.1889059990644455,0.013980983756482601,0.3779090642929077,0.0019335271790623665,-9.889012336730957,False,0.0,False,0.0,
46,0,0.00219290261156857,-0.17675697803497314,0.013157830573618412,0.3518490791320801,0.0015432201325893402,-9.88484001159668,False,0.0,False,0.0,
47,0,0.002000576350837946,-0.16531126201152802,0.012380671687424183,0.32767534255981445,0.0013941600918769836,-9.880940437316895,False,0.0,False,0.0,
48,0,0.0018438167171552777,-0.15453653037548065,0.011647677980363369,0.3050181567668915,0.0011033234186470509,-9.87703800201416,False,0.0,False,0.0,
49,0,0.0016940922942012548,-0.14439207315444946,0.01095537655055523,0.28384387493133545,0.0009273295290768147,-9.873170852661133,False,0.0,False,0.0,
50,0,0.0015464236494153738,-0.1348317563533783,0.010302182286977768,0.2641666829586029,0.0007801507599651814,-9.869559288024902,False,0.0,False,0.0,
51,0,0.0014052415499463677,-0.12582281231880188,0.009685958735644817,0.2457137554883957,0.0006347373127937317,-9.86607837677002,False,0.0,False,0.0,
52,0,0.0012747443979606032,-0.11733876913785934,0.009104708209633827,0.22830799221992493,0.000497790053486824,-9.862537384033203,False,0.0,False,0.0,
53,0,0.001159269129857421,-0.10934841632843018,0.008556721732020378,0.21210817992687225,0.00036271754652261734,-9.859323501586914,False,0.0,False,0.0,
54,0,0.0010613157646730542,-0.10183203220367432,0.008037167601287365,0.1967715620994568,0.00023266160860657692,-9.855975151062012,False,0.0,False,0.0,
55,0,0.0009442528826184571,-0.09475220739841461,0.007548098918050528,0.18263936042785645,0.00022706855088472366,-9.853187561035156,False,0.0,False,0.0,
56,0,0.0008456697687506676,-0.08808453381061554,0.007088137324899435,0.16920360922813416,0.00011199782602488995,-9.85018253326416,False,0.0,False,0.0,
57,0,0.000751132087316364,-0.08180626481771469,0.006654827389866114,0.15668854117393494,5.7799508795142174e-05,-9.84756088256836,False,0.0,False,0.0,
58,0,0.0006661952356807888,-0.07590024918317795,0.006243568379431963,0.14477375149726868,-1.0280637070536613e-05,-9.844773292541504,False,0.0,False,0.0,
59,0,0.0005839577061124146,-0.07034070044755936,0.005855266936123371,0.1336987018585205,-4.806695505976677e-05,-9.842297554016113,False,0.0,False,0.0,
60,0,0.0005109257763251662,-0.06509681046009064,0.005491278134286404,0.12350036948919296,-9.818747639656067e-05,-9.840340614318848,False,0.0,False,0.0,images/step_0060.png
61,0,0.0004288596974220127,-0.06016602739691734,0.005147440358996391,0.113575778901577,-8.720415644347668e-05,-9.838003158569336,False,0.0,False,0.0,
62,0,0.0007940426585264504,-0.05552542954683304,0.004823032300919294,0.1044040247797966,-0.001482699066400528,-9.836021423339844,False,0.0,False,0.0,
63,0,0.00045500913984142244,-0.05115455761551857,0.004503204487264156,0.09574705362319946,0.0008464147103950381,-9.834102630615234,False,0.0,False,0.0,
64,0,0.0002830127195920795,-0.04702973738312721,0.0042234864085912704,0.08775585144758224,0.00012331048492342234,-9.832573890686035,False,0.0,False,0.0,
65,0,0.000194952663150616,-0.04314206913113594,0.003962161485105753,0.08007676899433136,-0.00015459046699106693,-9.830970764160156,False,0.0,False,0.0,
66,0,0.00014162658771965653,-0.03948991745710373,0.003712612669914961,0.0726977065205574,-0.00026535033248364925,-9.829266548156738,False,0.0,False,0.0,
67,0,0.000510650163050741,-0.03605464845895767,0.0034773487132042646,0.0658562034368515,-0.0015751650789752603,-9.82778263092041,False,0.0,False,0.0,
68,0,0.00019220782269258052,-0.03281272202730179,0.0032411478459835052,0.059596527367830276,0.000723824487067759,-9.826690673828125,False,0.0,False,0.0,
69,0,0.00046666464186273515,-0.02976013533771038,0.003039366565644741,0.053518589586019516,-0.0013134984765201807,-9.825448036193848,False,0.0,False,0.0,
70,0,0.0005445933202281594,-0.02689344435930252,0.0028352378867566586,0.04765164852142334,-0.0005529987975023687,-9.824084281921387,False,0.0,False,0.0,
71,0,0.00010230406769551337,-0.02418976090848446,0.0026467363350093365,0.0424208790063858,0.0010461054043844342,-9.82328987121582,False,0.0,False,0.0,
72,0,0.0001487541157985106,-0.021640656515955925,0.0024883593432605267,0.03729073703289032,-0.0006862142472527921,-9.82215404510498,False,0.0,False,0.0,
73,0,0.0001295404217671603,-0.019243283197283745,0.0023297811858356,0.03247389197349548,-0.00040117374737747014,-9.821297645568848,False,0.0,False,0.0,
74,0,-0.00011529080074978992,-0.01698586717247963,0.002179910894483328,0.027942724525928497,0.00029133405769243836,-9.820451736450195,False,0.0,False,0.0,
75,0,0.00021394855866674334,-0.014854824170470238,0.0020473096519708633,0.023726772516965866,-0.001606661593541503,-9.81971263885498,False,0.0,False,0.0,
76,0,-0.00013532490993384272,-0.012849438935518265,0.0019077096367254853,0.019725659862160683,0.00069405761314556,-9.819141387939453,False,0.0,False,0.0,
77,0,-0.00026448824792169034,-0.010964255779981613,0.0017953369533643126,0.01585165224969387,-0.0001867939718067646,-9.81839370727539,False,0.0,False,0.0,
78,0,0.00011298296885797754,-0.009181938134133816,0.0016890497645363212,0.012313177809119225,-0.0017784768715500832,-9.817800521850586,False,0.0,False,0.0,
79,0,-0.00021338336227927357,-0.0075041791424155235,0.0015707795973867178,0.008895665407180786,0.0006111920229159296,-9.817296028137207,False,0.0,False,0.0,
80,0,9.860574209596962e-05,-0.005928913597017527,0.00147841009311378,0.005551176145672798,-0.001594838104210794,-9.816539764404297,False,0.0,False,0.0,images/step_0080.png
81,0,-1.647018507355824e-05,-0.004445830825716257,0.0013782056048512459,0.0024770088493824005,-8.183636964531615e-05,-9.815970420837402,False,0.0,False,0.0,
82,0,0.00013087925617583096,-0.003046355675905943,0.0012928223004564643,-0.0002346215769648552,-0.0010214728536084294,-9.81579875946045,False,0.0,False,0.0,
83,0,-0.0002715773298405111,-0.0017394121969118714,0.0012098988518118858,-0.003137296997010708,0.0007770503871142864,-9.815058708190918,False,0.0,False,0.0,
84,0,-0.0004287173505872488,-0.0005076362867839634,0.0011490213219076395,-0.005629159510135651,-0.00019241041445638984,-9.814706802368164,False,0.0,False,0.0,
85,0,-0.00047801726032048464,0.0006587785901501775,0.0010889103868976235,-0.007909191772341728,-0.0005355238681659102,-9.81453800201416,False,0.0,False,0.0,
86,0,-6.91444001859054e-05,0.0017545641167089343,0.0010294564999639988,-0.010254187509417534,-0.0019822395406663418,-9.814082145690918,False,0.0,False,0.0,
87,0,-0.00038139233947731555,0.002790035679936409,0.0009568336536176503,-0.012288457714021206,0.0004724012687802315,-9.813985824584961,False,0.0,False,0.0,
88,0,-0.0004998708609491587,0.003767850575968623,0.0009081882308237255,-0.014329798519611359,-0.00033253413857892156,-9.81365966796875,False,0.0,False,0.0,
89,0,-0.00010355271660955623,0.0046873437240719795,0.0008616579580120742,-0.016278430819511414,-0.0019716452807188034,-9.813369750976562,False,0.0,False,0.0,
90,0,-0.0004088817513547838,0.0055592781864106655,0.0008005927666090429,-0.01800381764769554,0.0004248986952006817,-9.813267707824707,False,0.0,False,0.0,
91,0,-8.771415741648525e-05,0.006368162576109171,0.0007634391658939421,-0.019974682480096817,-0.0017614549724385142,-9.812678337097168,False,0.0,False,0.0,
92,0,1.6013904314604588e-05,0.007128298748284578,0.0007129221921786666,-0.021534109488129616,-0.0009173925500363111,-9.81251335144043,False,0.0,False,0.0,
93,0,4.325470217736438e-05,0.007846311666071415,0.0006695098127238452,-0.022943783551454544,-0.0007148783188313246,-9.812487602233887,False,0.0,False,0.0,
94,0,-0.0004045675159431994,0.008518286049365997,0.000632573151960969,-0.02445504255592823,0.000758887326810509,-9.812163352966309,False,0.0,False,0.0,
95,0,-0.00012405289453454316,0.009156805463135242,0.0006168767577037215,-0.02576553076505661,-0.001767012639902532,-9.81196403503418,False,0.0,False,0.0,
96,0,-0.00047824144712649286,0.009759935550391674,0.0005840216181240976,-0.02698732540011406,0.0004114042385481298,-9.811943054199219,False,0.0,False,0.0,
97,0,-0.000602909189183265,0.01032368466258049,0.0005684003117494285,-0.028274117037653923,-0.0005159706342965364,-9.811710357666016,False,0.0,False,0.0,
98,0,-0.0002045159781118855,0.0108539629727602,0.0005499180988408625,-0.029387708753347397,-0.0021875575184822083,-9.811552047729492,False,0.0,False,0.0,
99,0,-0.0005163139430806041,0.01136036403477192,0.000514173530973494,-0.030393175780773163,0.00024108588695526123,-9.811505317687988,False,0.0,False,0.0,
100,0,-0.0001895356399472803,0.011829908937215805,0.000497184693813324,-0.03151516243815422,-0.0019926056265830994,-9.811280250549316,False,0.0,False,0.0,images/step_0100.png
101,0,-7.032130815787241e-05,0.012272858060896397,0.0004679634585045278,-0.03243076428771019,-0.0011748535325750709,-9.811203956604004,False,0.0,False,0.0,
102,0,-0.00048359096399508417,0.01269156951457262,0.00044348728260956705,-0.0333048552274704,0.0004940468352288008,-9.811135292053223,False,0.0,False,0.0,
103,0,-0.00018569995881989598,0.013091410510241985,0.0004375615098979324,-0.03409944474697113,-0.0019806979689747095,-9.811136245727539,False,0.0,False,0.0,
104,0,-0.0005323337391018867,0.013469871133565903,0.00041363597847521305,-0.034876395016908646,0.00023863406386226416,-9.811125755310059,False,0.0,False,0.0,
105,0,-0.00021314938203431666,0.013825492933392525,0.0004066156689077616,-0.03575369343161583,-0.0020842645317316055,-9.810884475708008,False,0.0,False,0.0,
106,0,-0.00032819490297697484,0.014158031903207302,0.00038340274477377534,-0.036467280238866806,-0.0005353576270863414,-9.810842514038086,False,0.0,False,0.0,
107,0,-0.0005970912170596421,0.01447045523673296,0.0003701391979120672,-0.037132445722818375,-0.00015409383922815323,-9.810831069946289,False,0.0,False,0.0,
108,0,-0.00024335624766536057,0.014759638346731663,0.0003650030412245542,-0.03788027912378311,-0.002242662478238344,-9.810587882995605,False,0.0,False,0.0,
109,0,-0.0005648414371535182,0.015030544251203537,0.00034424179466441274,-0.038437191396951675,8.488353341817856e-05,-9.810595512390137,False,0.0,False,0.0,
110,0,-0.0002421797253191471,0.015296734869480133,0.0003414815873838961,-0.038801874965429306,-0.0021682572551071644,-9.810807228088379,False,0.0,False,0.0,
111,0,-0.0001262522564502433,0.015545664355158806,0.00032220265711657703,-0.03948434442281723,-0.0013454485451802611,-9.810583114624023,False,0.0,False,0.0,
112,0,-9.227269765688106e-05,0.015772869810461998,0.0003052000538446009,-0.04007461667060852,-0.0011145909084007144,-9.810429573059082,False,0.0,False,0.0,
113,0,-0.0005313805886544287,0.015991682186722755,0.00029218141571618617,-0.040450431406497955,0.0003673122264444828,-9.8104829788208,False,0.0,False,0.0,
114,0,-0.0002383388055022806,0.0161906685680151,0.00029893749160692096,-0.04103812575340271,-0.0021675387397408485,-9.810236930847168,False,0.0,False,0.0,
115,0,-0.00014514688518829644,0.016380028799176216,0.00028716414817608893,-0.041354499757289886,-0.0013640905963256955,-9.81041431427002,False,0.0,False,0.0,
116,0,-0.0005534233059734106,0.016555171459913254,0.00027394102653488517,-0.041788071393966675,0.00021294853650033474,-9.810247421264648,False,0.0,False,0.0,
117,0,-0.00025909478426910937,0.016725478693842888,0.00027990611852146685,-0.042029112577438354,-0.002222072798758745,-9.810482025146484,False,0.0,False,0.0,
118,0,-0.00015555457503069192,0.016886990517377853,0.0002681624609977007,-0.04242921993136406,-0.0014447015710175037,-9.81035327911377,False,0.0,False,0.0,
119,0,-0.000123907535453327,0.0170422475785017,0.0002569691860117018,-0.042771000415086746,-0.0012405116576701403,-9.81026554107666,False,0.0,False,0.0,
120,0,-0.00012249195424374193,0.017181895673274994,0.0002489625185262412,-0.043184492737054825,-0.0011710460530593991,-9.810151100158691,False,0.0,False,0.0,images/step_0120.png
121,0,-0.00012225921091157943,0.017318405210971832,0.00024285726249217987,-0.04336860030889511,-0.0011972020147368312,-9.810279846191406,False,0.0,False,0.0,
122,0,-0.0005670886021107435,0.01743869110941887,0.00023719998716842383,-0.043757904320955276,0.00020632159430533648,-9.8101167678833,False,0.0,False,0.0,
123,0,-0.0007274646195583045,0.017553279176354408,0.0002465313009452075,-0.043999191373586655,-0.00088508240878582,-9.81008529663086,False,0.0,False,0.0,
124,1,-0.0003418951528146863,0.01766100712120533,0.0002497308305464685,-0.044255319982767105,-0.002619565464556217,-9.810003280639648,False,0.0,False,0.0,
125,1,-0.0006494271219708025,0.017765764147043228,0.00023403007071465254,-0.044384974986314774,-0.00021722272504121065,-9.810195922851562,False,0.0,False,0.0,
126,1,-0.0007501618238165975,0.017862491309642792,0.00023561049601994455,-0.04458783194422722,-0.0010505524696782231,-9.806586265563965,False,0.0,False,0.0,
127,1,-0.00034004455665126443,0.017956282943487167,0.00023443513782694936,-0.044684115797281265,-0.0026663788594305515,-9.79892635345459,False,0.0,False,0.0,
128,1,-0.00019346241606399417,0.018036257475614548,0.00021511064551305026,-0.04484003409743309,-0.0016413870034739375,-9.790911674499512,False,0.0,False,0.0,
129,1,-0.0005936668603681028,0.018109383061528206,0.0001999930536840111,-0.044897183775901794,9.945023339241743e-05,-9.783327102661133,False,0.0,False,0.0,
130,1,-0.000726482190657407,0.018189778551459312,0.00020330761617515236,-0.044789496809244156,-0.0009347517043352127,-9.776444435119629,False,0.0,False,0.0,
131,1,-0.00032659221324138343,0.01825306937098503,0.00020335783483460546,-0.045125894248485565,-0.0026165435556322336,-9.769445419311523,False,0.0,False,0.0,
132,1,-0.00019467422680463642,0.01831124536693096,0.0001848300889832899,-0.04518722742795944,-0.0015764127019792795,-9.763235092163086,False,0.0,False,0.0,
133,1,-0.0005839311634190381,0.018370015546679497,0.00017056879005394876,-0.04518887773156166,7.84446019679308e-05,-9.757484436035156,False,0.0,False,0.0,
134,1,-0.0002890812756959349,0.018433718010783195,0.0001757958234520629,-0.04520643129944801,-0.00228692963719368,-9.752223014831543,False,0.0,False,0.0,
135,1,-0.00018070721125695854,0.018489789217710495,0.0001656472304603085,-0.045429036021232605,-0.0015175389125943184,-9.747137069702148,False,0.0,False,0.0,
136,1,-0.00014181601000018418,0.018539000302553177,0.00015513152175117284,-0.0456751212477684,-0.001311218598857522,-9.742375373840332,False,0.0,False,0.0,
137,1,-0.00013637752272188663,0.01857420988380909,0.00015055597759783268,-0.046130482107400894,-0.001228257198818028,-9.737845420837402,False,0.0,False,0.0,
138,1,-0.0005843998515047133,0.018601298332214355,0.00015017173427622765,-0.04640223830938339,0.0001930502476170659,-9.734172821044922,False,0.0,False,0.0,
139,1,-0.00029058483778499067,0.01863105222582817,0.0001656931999605149,-0.046547528356313705,-0.002370589878410101,-9.731223106384277,False,0.0,False,0.0,
140,1,-0.0006383153959177434,0.01866527646780014,0.00016121014778036624,-0.04667079821228981,-0.00015011487994343042,-9.728633880615234,False,0.0,False,0.0,images/step_0140.png
141,1,-0.0007550648297183216,0.018693966791033745,0.00016879205941222608,-0.04685462266206741,-0.001074478030204773,-9.726297378540039,False,0.0,False,0.0,
142,1,-0.0003550010151229799,0.01872590370476246,0.00017214592662639916,-0.046773578971624374,-0.002710244618356228,-9.724602699279785,False,0.0,False,0.0,
143,1,-0.00021126140200067312,0.01875540427863598,0.00015725562116131186,-0.046895187348127365,-0.0017204292817041278,-9.722772598266602,False,0.0,False,0.0,
144,1,-0.0003692441969178617,0.018771104514598846,0.00014490597823169082,-0.04711906611919403,-0.000782634480856359,-9.721009254455566,False,0.0,False,0.0,
145,1,-0.0006476206472143531,0.018788935616612434,0.0001432728167856112,-0.04699007421731949,-0.0004989401786588132,-9.719879150390625,False,0.0,False,0.0,
146,1,-0.0003301474207546562,0.018800338730216026,0.0001499440986663103,-0.04709962010383606,-0.0024798226077109575,-9.718624114990234,False,0.0,False,0.0,
147,1,-0.00020372548897285014,0.0188172347843647,0.00013881217455491424,-0.046997006982564926,-0.001706866081804037,-9.717757225036621,False,0.0,False,0.0,
148,1,-0.0006022793240845203,0.018837664276361465,0.0001281539152842015,-0.046888239681720734,-5.7971454225480556e-05,-9.717181205749512,False,0.0,False,0.0,
149,1,-0.0007398606976494193,0.018848299980163574,0.0001339665468549356,-0.047075118869543076,-0.001061588292941451,-9.716238021850586,False,0.0,False,0.0,
150,1,-0.0003451014927122742,0.01885848306119442,0.00013642312842421234,-0.047009944915771484,-0.002719145268201828,-9.715798377990723,False,0.0,False,0.0,
151,1,-0.000649227062240243,0.018865389749407768,0.00012106132635381073,-0.04707463085651398,-0.0003408081247471273,-9.715259552001953,False,0.0,False,0.0,
152,1,-0.0003118153545074165,0.018869375810027122,0.0001225153828272596,-0.0470283217728138,-0.0025308001786470413,-9.714954376220703,False,0.0,False,0.0,
153,1,-0.0006294967606663704,0.018872486427426338,0.00010895855666603893,-0.04705476388335228,-0.0002955215168185532,-9.714654922485352,False,0.0,False,0.0,
154,1,-0.00030543794855475426,0.018874114379286766,0.00011113458458567038,-0.04700015112757683,-0.0024753129109740257,-9.71456527709961,False,0.0,False,0.0,
155,1,-0.00018815265502780676,0.018872220069169998,9.832948126131669e-05,-0.047036781907081604,-0.0016536033945158124,-9.714402198791504,False,0.0,False,0.0,
156,1,-0.0005928847240284085,0.01887640543282032,8.75250916578807e-05,-0.046888500452041626,-4.486867692321539e-05,-9.71461296081543,False,0.0,False,0.0,
157,1,-0.00029522282420657575,0.01887526921927929,9.337170195067301e-05,-0.04698896035552025,-0.0023982159327715635,-9.714530944824219,False,0.0,False,0.0,
158,1,-0.0006294709164649248,0.018879255279898643,8.250766404671595e-05,-0.04684554785490036,-0.00026226008776575327,-9.714872360229492,False,0.0,False,0.0,
159,1,-0.0007418356835842133,0.018883908167481422,8.633415563963354e-05,-0.04684539884328842,-0.0011178267886862159,-9.715080261230469,False,0.0,False,0.0,
160,1,-0.00034329481422901154,0.018884217366576195,8.786450052866712e-05,-0.04692980274558067,-0.002661614678800106,-9.71520709991455,False,0.0,False,0.0,images/step_0160.png
161,1,-0.00020555136143229902,0.01888086646795273,7.2312424890697e-05,-0.04696986451745033,-0.0016858454328030348,-9.715438842773438,False,0.0,False,0.0,
162,1,-0.000593082862906158,0.018876874819397926,5.955613960395567e-05,-0.04695354402065277,-0.00010034278966486454,-9.715810775756836,False,0.0,False,0.0,
163,1,-0.00029901089146733284,0.018871722742915154,6.367076275637373e-05,-0.04693864285945892,-0.002344698179513216,-9.716212272644043,False,0.0,False,0.0,
164,1,-0.0006108949310146272,0.018876688554883003,5.30377437826246e-05,-0.046797335147857666,-0.0003332298365421593,-9.716774940490723,False,0.0,False,0.0,
165,1,-0.0003024663310497999,0.018883077427744865,5.61883753107395e-05,-0.04679026082158089,-0.002373380120843649,-9.717315673828125,False,0.0,False,0.0,
166,1,-0.0006169343832880259,0.018888020887970924,4.529060606728308e-05,-0.046824272722005844,-0.0003292494802735746,-9.71786880493164,False,0.0,False,0.0,
167,1,-0.00030546303605660796,0.018884481862187386,4.806538709090091e-05,-0.046980760991573334,-0.002370256930589676,-9.718233108520508,False,0.0,False,0.0,
168,1,-0.0006185604142956436,0.018878508359193802,3.7671772588510066e-05,-0.04692326858639717,-0.00033562001772224903,-9.718908309936523,False,0.0,False,0.0,
169,1,-0.0007286467007361352,0.01887514628469944,3.918746006092988e-05,-0.04693063721060753,-0.0011013022158294916,-9.719461441040039,False,0.0,False,0.0,
170,1,-0.00033706636168062687,0.018870992586016655,4.021544737042859e-05,-0.046870674937963486,-0.0025627121794968843,-9.72021770477295,False,0.0,False,0.0,
171,1,-0.00019535291357897222,0.018872223794460297,2.3223912648973055e-05,-0.04682477191090584,-0.0016599965747445822,-9.720930099487305,False,0.0,False,0.0,
172,1,-0.0005773142911493778,0.018867047503590584,7.112693765520817e-06,-0.0469195581972599,-0.00014739949256181717,-9.72156810760498,False,0.0,False,0.0,
173,1,-0.00029754365095868707,0.01886030286550522,1.008305753202876e-05,-0.046920180320739746,-0.002242288552224636,-9.722260475158691,False,0.0,False,0.0,
174,1,-0.0006059024599380791,0.01886199600994587,8.598002523285686e-07,-0.04683063179254532,-0.0003672902239486575,-9.723118782043457,False,0.0,False,0.0,
175,1,-0.0002959469857160002,0.0188552625477314,2.5157921754725976e-06,-0.04695073142647743,-0.0023127105087041855,-9.723803520202637,False,0.0,False,0.0,
176,1,-0.0006034388206899166,0.01884143054485321,-9.546658475301228e-06,-0.04703819379210472,-0.0003762192791327834,-9.724457740783691,False,0.0,False,0.0,
177,1,-0.00029842343064956367,0.01883000135421753,-1.0808324987010565e-05,-0.04693439602851868,-0.0022882726043462753,-9.725377082824707,False,0.0,False,0.0,
178,1,-0.0005948549369350076,0.01882099360227585,-2.5027062292792834e-05,-0.04684736207127571,-0.00041857390897348523,-9.726311683654785,False,0.0,False,0.0,
179,1,-0.0007068153354339302,0.018810175359249115,-2.7091053198091686e-05,-0.04690086469054222,-0.001096390769816935,-9.727092742919922,False,0.0,False,0.0,
180,1,-0.000338920479407534,0.018795616924762726,-2.9263472242746502e-05,-0.04694142937660217,-0.002420018892735243,-9.727928161621094,False,0.0,False,0.0,images/step_0180.png
